OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AL,USGS Alabama Water Science Center,USGS-321100086344501,Well L  12 City Well 1 At Hayneville,Well,,03150201,,,,,32.18352778000000,-86.5790833000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,245.00,feet,5,feet,Interpolated from topographic map.,NAVD88,US,01,085,Southeastern Coastal Plain aquifer system,,Tuscaloosa Group,,,1061,ft,1067,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-321505086104601,Well P21 Montgomery County Al,Well,,03150201,,,,,32.25225000000000,-86.1801111000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,265,feet,5,feet,Interpolated from topographic map.,NAVD88,US,01,101,Southeastern Coastal Plain aquifer system,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-322405087342601,Well I 66 Dayton Well Near Linden Al,Well,,03160201,,,,,32.40147220000000,-87.5738333000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,220,feet,5,feet,Interpolated from topographic map.,NAVD88,US,01,091,Southeastern Coastal Plain aquifer system,,Gordo Formation,,,1550,ft,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-322643087020001,Well J  24 Selma PWS 1988-89 Dallas Cnty Al,Well,,03150201,,,,,32.44541355000000,-87.0333237000000,24000,5,seconds,Interpolated from MAP.,NAD83,185,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,047,Southeastern Coastal Plain aquifer system,,Coker Formation,Confined single aquifer,,1420,ft,1425,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-322658085465001,Well NAWQA FLH 24 Macon County Al,Well,,03150110,,,,,32.44930556000000,-85.7796667000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,310,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,087,Southeastern Coastal Plain aquifer system,,Tuscaloosa Group,Confined single aquifer,19950808,255,ft,260,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-323500085274801,Well ( R 2) CITY OF AUBURN 323500085274801 AL,Well,,03150110,,,,,32.58346860000000,-85.4632818000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,616,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,01,081,Piedmont and Blue Ridge crystalline-rock aquifers,,Paleozoic Erathem,Confined single aquifer,,140,ft,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-323500086542101,Well  A   1 Dallas County Al,Well,,03150201,,,,,32.58325000000000,-86.9058056000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,200,feet,10,feet,Interpolated from topographic map.,NGVD29,US,01,047,,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-323528086205801,Well  G 13 HOLTVILLE PWS  323528086205801  Al,Well,,03150201,,,,,32.59124337000000,-86.3494170000000,24000,5,seconds,Interpolated from MAP.,NAD83,284.00,feet,5,feet,Altimeter.,NGVD29,US,01,051,Southeastern Coastal Plain aquifer system,,Coker Formation,Confined single aquifer,19730901,158,ft,171,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-323908086360201,Well NAWQA FLH 28 Autauga County Al,Well,,03150201,,,,,32.65186110000000,-86.6006944000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,550,feet,10,feet,Interpolated from topographic map.,NGVD29,US,01,001,Southeastern Coastal Plain aquifer system,,Gordo Formation,Confined single aquifer,19950811,210,ft,220,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-324046088095101,Well J-8 Sumter County Al,Well,,03160106,,,,,32.67944444000000,-88.1641667000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,190,feet,5,feet,Interpolated from topographic map.,NAVD88,US,01,119,Southeastern Coastal Plain aquifer system,,Gordo Formation,,,1876,ft,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-324159087362001,Well P  37 Hale County Al,Well,,03160113,,,,,32.69972220000000,-87.6055556000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,270,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,065,Southeastern Coastal Plain aquifer system,,Gordo Formation,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-325116087570601,Well (Q-9) Greene County Al,Well,,03160106,,,,,32.85444444000000,-87.9516667000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,153,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,063,Southeastern Coastal Plain aquifer system,,Gordo Formation,,,645,ft,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-325159086423801,Well NAWQA FLH 30 Chilton County Al,Well,,03150201,,,,,32.86650000000000,-86.7105278000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,590,feet,10,feet,Interpolated from topographic map.,NGVD29,US,01,021,Southeastern Coastal Plain aquifer system,,Coker Formation,Confined single aquifer,199810,166,ft,166,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-325627087043401,Well   P 8-325627087043401 Bibb County Al,Well,,03150202,,,,,32.94095720000000,-87.0761052000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,286,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,007,,,,,,193,ft,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-325740086432401,Well  F 10  325740086432401 Chilton County Al,Well,,03150107,,,,,32.96123397000000,-86.7233183000000,24000,1,minutes,Reported.,NAD83,660,feet,20,feet,Interpolated from topographic map.,NGVD29,US,01,021,Piedmont and Blue Ridge crystalline-rock aquifers,,Devonian System,Confined single aquifer,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-330636086251101,Well FF 11  330636086251101 Talladega County Al,Well,,03150107,,,,,33.11000000000000,-86.4197222000000,24000,1,minutes,Reported.,NAD83,520,feet,10,feet,Interpolated from topographic map.,NGVD29,US,01,121,Piedmont and Blue Ridge crystalline-rock aquifers,,Ordovician-Cambrian Systems,Confined single aquifer,20060417,250,ft,255,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-332357087524301,Well J-18 Pickens County Al,Well,,03160107,,,,,33.39902778000000,-87.8786111000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,500,feet,5,feet,Interpolated from topographic map.,NAVD88,US,01,107,Southeastern Coastal Plain aquifer system,,Gordo Formation,,,190,ft,190,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-332630087430001,Well NAWQA FLH 17 Tuscaloosa County Al,Well,,03160112,,,,,33.44261110000000,-87.7147222000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,400,feet,10,feet,Interpolated from topographic map.,NGVD29,US,01,125,Southeastern Coastal Plain aquifer system,,Coker Formation,Confined single aquifer,19880629,177,ft,177,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-332833086203001,Well XXX  332833086203001 St. Clair County Al,Well,,03150106,,,,,33.47593980000000,-86.3416453000000,24000,5,seconds,Interpolated from MAP.,NAD83,505.00,feet,010,feet,Interpolated from topographic map.,NGVD29,US,01,115,Valley and Ridge aquifers,,,,19810501,210.00,ft,210.00,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-333353088043201,NAWQA FLH-15-1,Well,,03160105,,,,,33.56223056000000,-88.0773888900000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,279,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,01,075,Southeastern Coastal Plain aquifer system,,Gordo Formation,,,450,ft,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-333642086065001,Well  C 13 LINCOLN PWS  2  333642086065001 Al,Well,,03150106,,,,,33.61176994000000,-86.1138616000000,24000,5,seconds,Interpolated from MAP.,NAD83,529,feet,5,feet,Altimeter.,NGVD29,US,01,121,Valley and Ridge aquifers,,Knox Group,Confined single aquifer,19571015,260,ft,260,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-333924086352901,Well L  23 Trussville PWS Jefferson County Al,Well,,03150202,,,,,33.65676880000000,-86.5913755900000,24000,5,seconds,Interpolated from MAP.,NAD83,740,feet,10,feet,Interpolated from topographic map.,NGVD29,US,01,073,,,Fort Payne Chert/formation,Confined single aquifer,1987,152,ft,152,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-334821086090001,Well J-15 St. Clair County Al,Well,,03150106,,,,,33.80583330000000,-86.1500000000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,575,feet,5,feet,Interpolated from topographic map.,NAVD88,US,01,115,Valley and Ridge aquifers,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-335323088074301,Well E-14 Lamar County Al,Well,,03160103,,,,,33.88977778000000,-88.1286667000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,435,feet,5,feet,Interpolated from topographic map.,NAVD88,US,01,075,Southeastern Coastal Plain aquifer system,,Coker Formation,,19910526,283,ft,315,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-342640088065901,Well  G  19 Franklin County Al,Well,,06030006,,,,,34.44444444000000,-88.1169444000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,540,feet,10,feet,Interpolated from topographic map.,NGVD29,US,01,059,,,,,,,,,,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-343940087290601,Well EHR-LUS37 Colbert Cnty AL,Well,,06030005,,,,,34.66105556000000,-87.4848611000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,572,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,033,Mississippian aquifers,,"Mississippian, Upper",Unconfined single aquifer,20111117,41.5,ft,41.5,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-344124086531401,EHR-LUS18,Well,,06030002,,,,,34.69014640000000,-86.8871154000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,612,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,083,Mississippian aquifers,,"Mississippian, Upper",Unconfined single aquifer,19991023,24,ft,24,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-344154087171201,EHR-LUS24,Well,,06030002,,,,,34.69836759000000,-87.2866865000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,565,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,079,Mississippian aquifers,,"Mississippian, Upper",Unconfined single aquifer,19991025,14,ft,15,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-344348086493401,EHR-LUS35,Well,,06030002,,,,,34.73005556000000,-86.8261111000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,640,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,083,Mississippian aquifers,,Fort Payne Chert/formation,Unconfined single aquifer,19991023,53,ft,54,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-344615086272201,EHR-LUS31,Well,,06030002,,,,,34.77075000000000,-86.4560833000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,663,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,089,Mississippian aquifers,,Fort Payne Chert/formation,Unconfined single aquifer,19991020,36,ft,36,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-345112086313401,EHR-LUS13,Well,,06030002,,,,,34.85344444000000,-86.5261667000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,705,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,089,Mississippian aquifers,,Fort Payne Chert/formation,Unconfined single aquifer,19991019,35,ft,35,ft,NWIS
USGS-AL,USGS Alabama Water Science Center,USGS-345822086254001,EHR-LUS11,Well,,06030002,,,,,34.97272220000000,-86.4279167000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,858,feet,5,feet,Interpolated from topographic map.,NGVD29,US,01,089,Mississippian aquifers,,Fort Payne Chert/formation,Unconfined single aquifer,19991018,50,ft,52,ft,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-354913093460101,13N26W05DAA1,Well,,11010001,,,,,35.82016667000000,-93.7670556000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1446,feet,1,feet,Interpolated from Digital Elevation Model,NGVD29,US,05,087,Ozark Plateaus aquifer system,,Gunter Sandstone Member of Van Buren Formation,Confined multiple aquifers,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-355804092135201,15N12W02BCA1,Well,,11010004,,,,,35.96812778000000,-92.2312361000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,980.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,05,137,Ozark Plateaus aquifer system,,,,19770202,3420,ft,3420,ft,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-360656093070601,17N20W21BCA1,Well,,11010005,,,,,36.11196110000000,-93.1204056000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1344.48,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,05,101,Ozark Plateaus aquifer system,,,Confined single aquifer,18991231,2576,ft,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-361150093025601,18N19W19BCC1,Well,,11010003,,,,,36.19715278000000,-93.0493806000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,1146,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,009,Ozark Plateaus aquifer system,,Gunter Sandstone Member of Van Buren Formation,Confined single aquifer,19670215,1649,ft,1649,ft,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-361714092302501,19N14W29DBC1,Well,,11010003,,,,,36.28727220000000,-92.5070917000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,720,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,005,Ozark Plateaus aquifer system,,Gunter Sandstone Member of Van Buren Formation,Confined single aquifer,19721001,1625,ft,1625,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-314204110224201,D-20-19 14BAB,Well,,15050202,,,,,31.70117330000000,-110.3789387000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4480,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,Basin and Range carbonate-rock aquifers,,,,19711115,455,ft,455,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-314322110030901,D-20-22 01CAA,Well,,15050202,,,,,31.72286796000000,-110.0531318000000,24000,10,seconds,Interpolated from MAP.,NAD83,4375.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,Basin and Range basin-fill aquifers,,,Unconfined single aquifer,,600,ft,890,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321321110450101,D-14-16 07CDC,Well,,15050302,,,,,32.22257639000000,-110.7509169000000,24000,1,seconds,Interpolated from MAP.,NAD83,2807,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,019,Basin and Range basin-fill aquifers,,,Unconfined single aquifer,19851116,800,ft,1000,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321607109133501,D-13-31 30CBC2,Well,,15040006,,,,,32.26849520000000,-109.2268652000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3660,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,Basin and Range basin-fill aquifers,,,Unconfined single aquifer,19940411,1035,ft,1035,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-322024109511801,D-13-24 01BBA,Well,,15050201,,,,,32.33998880000000,-109.8554867000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4260.,feet,15,feet,Interpolated from topographic map.,NGVD29,US,04,003,Basin and Range basin-fill aquifers,,,Unconfined single aquifer,,410,ft,410,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-325329112405301,C-06-04 20ADD,Well,,15070101,,,,,32.89143550000000,-112.6821056000000,24000,5,seconds,Interpolated from MAP.,NAD83,858.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,013,Basin and Range basin-fill aquifers,,,Unconfined single aquifer,19821110,618,ft,620,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-330135111231701,D-05-09 02ADA,Well,,15050100,,,,,33.02645090000000,-111.3887318000000,24000,5,seconds,Interpolated from MAP.,NAD83,1503.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,021,Basin and Range basin-fill aquifers,,,Unconfined single aquifer,19530930,575,ft,575,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-330420112034301,D-04-03 21BBA1,Well,,15050303,,,,,33.07211110000000,-112.0612222000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,1160,feet,5,feet,Interpolated from topographic map.,NAVD88,US,04,013,Basin and Range basin-fill aquifers,,,Unconfined single aquifer,19980501,800,ft,800,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-333330112164801,A-03-01 32DBB,Well,,15070102,,,,,33.55822220000000,-112.2808610000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1120.,feet,5,feet,Global Positioning System.,NGVD29,US,04,013,,,,,19740408,700,ft,700,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-333536112131201,A-03-01 23AAD,Well,,15070102,,,,,33.59359254000000,-112.2204858000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1165.,feet,2,feet,Interpolated from topographic map.,NGVD29,US,04,013,,,,,19470218,900,ft,900,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-333721112230401,B-03-01 08ABB2,Well,,15070102,,,,,33.62253807000000,-112.3851624000000,24000,5,seconds,Interpolated from MAP.,NAD83,1217.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,013,,,,,1976,1200,ft,1200,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-334638112314501,B-05-03 13BCA2,Well,,15070102,,,,,33.77742030000000,-112.5301435000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1680,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,013,Basin and Range basin-fill aquifers,,,Unconfined single aquifer,20000816,800,ft,800,ft,NWIS
