System PWS ID,System Name,Source Water Type,Population,Sample Date,County,PFOS_ng_L,PFOA_ng_L,GenX_ng_L,PFBS_ng_L,PFNA_ng_L,PFHxS_ng_L,year
NC0474045,BELL ARTHUR WATER CORP,Surface Water Purchase,10635.0,7/27/2023,PITT,ND,ND,ND,ND,ND,ND,2023
NC4092128,BELLA VISTA S/D,Groundwater,120.0,5/31/2023,WAKE,1.17,2.2,ND,4.71,ND,2.64,2023
NC0136107,BELMONT ABBEY COLLEGE,Groundwater,1325.0,8/2/2023,GASTON,5.55,2.93,ND,1.88,ND,1.7,2023
NC0279161,BENAJA CROSSING MH S/D,Groundwater,99.0,9/21/2023,ROCKINGHAM,ND,ND,ND,ND,ND,ND,2023
NC0136360,BERKLEY OAKS LLC,Groundwater,170.0,8/29/2023,GASTON,ND,ND,ND,ND,ND,ND,2023
NC0188593,BETHANY BAPT CHURCH & SCHOOL,Groundwater,40.0,9/12/2023,TRANSYLVANIA,ND,ND,0.226,ND,ND,ND,2023
NC0241660,BETHLEHEM CHILD CARE CENTER,Groundwater,64.0,9/5/2023,GUILFORD,4.98,7.66,ND,0.983,1.79,1.12,2023
NC0201475,BIBLE WESLEYAN CHRISTIAN SCHOOL,Groundwater,40.0,8/15/2023,ALAMANCE,ND,ND,ND,ND,ND,ND,2023
NC0150170,BIG RIDGE S/D,Groundwater,71.0,8/9/2023,JACKSON,ND,ND,ND,ND,ND,ND,2023
NC0150169,BIG SHEEP CLIFF,Groundwater,160.0,8/28/2023,JACKSON,ND,ND,ND,ND,ND,ND,2023
NC0368188,BINGHAM WOODS MHP,Groundwater,190.0,5/15/2023,ORANGE,2.5,0.858,ND,0.841,ND,ND,2023
NC1056031,BLACK BEAR DEVELOPMENT,Groundwater,343.0,9/26/2023,MCDOWELL,ND,ND,ND,ND,ND,ND,2023
NC0351107,BLACKMON`S MHP,Groundwater,52.0,8/29/2023,JOHNSTON,1.81,2.16,ND,1.39,ND,0.89,2023
NC4092134,BLANEY FARMS S/D,Groundwater,331.0,5/16/2023,WAKE,0.978,1.14,0.215,ND,ND,ND,2023
NC0195136,BLOOMFIELD APARTMENTS,Groundwater,31.0,10/19/2023,WATAUGA,1.78,2.47,ND,1.19,ND,1.52,2023
NC3003003,BLUE RIDGE DEVELOPMENTAL DAY,Groundwater,60.0,8/8/2023,ALLEGHANY,ND,ND,ND,ND,ND,ND,2023
NC3095004,BLUE RIDGE ESTATES,Groundwater,51.0,7/26/2023,WATAUGA,ND,ND,ND,ND,ND,ND,2023
NC3097018,BLUE RIDGE MTN CLUB,Groundwater,508.0,8/8/2023,WILKES,ND,ND,ND,ND,ND,ND,2023
NC0195169,BLUE RIDGE PRESERVATION INC,Groundwater,150.0,10/19/2023,WATAUGA,ND,ND,ND,ND,ND,ND,2023
NC0106116,BLUE RIDGE VILLAGE,Groundwater,343.0,10/19/2023,AVERY,0.818,ND,ND,ND,ND,ND,2023
NC0392321,BLUE SKIES MH LIVING,Groundwater,115.0,7/13/2023,WAKE,ND,ND,ND,ND,ND,ND,2023
NC0416028,BOGUE BANKS WATER CORPORATION,Groundwater,4995.0,8/2/2023,CARTERET,ND,ND,ND,ND,ND,ND,2023
NC0464132,BOTTOMS FARM MHP,Groundwater,123.0,5/30/2023,NASH,ND,ND,ND,ND,ND,ND,2023
NC1050083,BOYS AND GIRLS CLUB OF THE PLATEAU,Groundwater,270.0,8/9/2023,JACKSON,ND,ND,ND,ND,ND,ND,2023
NC0276449,BRENNAN PLACE MHP,Groundwater,48.0,9/19/2023,RANDOLPH,ND,ND,ND,ND,ND,ND,2023
NC0136235,BRENTWOOD MHP,Groundwater,99.0,11/20/2023,GASTON,4.15,4.37,ND,2.6,ND,4.35,2023
NC1050040,BRIDGE CREEK,Groundwater,25.0,8/9/2023,JACKSON,ND,ND,ND,ND,ND,ND,2023
NC4092180,BROOK MEADOW S/D,Groundwater,30.0,5/16/2023,WAKE,ND,ND,ND,ND,ND,ND,2023
NC0286158,BROOKDALE S/D,Groundwater,46.0,10/24/2023,SURRY,ND,ND,ND,ND,ND,ND,2023
NC0392144,BUFFALOE ROAD MHP,Groundwater,162.0,9/7/2023,WAKE,14.6,15.2,ND,10.7,ND,7.59,2023
NC0276104,BUSY-B MHP,Groundwater,83.0,9/19/2023,RANDOLPH,ND,ND,ND,ND,ND,ND,2023
NC4092151,CAMBERLY S/D,Groundwater,199.0,5/25/2023,WAKE,ND,ND,ND,ND,ND,ND,2023
NC0392110,CAMELOT MHP,Groundwater,34.0,6/29/2023,WAKE,3.44,11.2,ND,4.25,2.52,0.854,2023
NC0363554,CAMERON BOYS CAMP,Groundwater,75.0,8/16/2023,MOORE,ND,ND,ND,ND,ND,ND,2023
NC0184135,CANTON HEIGHTS MHP,Groundwater,132.0,7/27/2023,STANLY,7.62,8.3,ND,5.74,ND,2.9,2023
NC0326776,CARDINAL CARE OF HOPE MILLS,Groundwater,28.0,8/15/2023,CUMBERLAND,ND,ND,0.181,ND,ND,ND,2023
NC0150152,CAROL`S CABINS,Groundwater,51.0,8/1/2023,JACKSON,1.14,ND,ND,ND,ND,ND,2023
NC0157112,CAROLINA HIGHLANDS RETIRE PARK,Groundwater,45.0,8/1/2023,MACON,ND,ND,ND,ND,ND,ND,2023
NC0150111,CAROLINA VILLAGE APARTMENTS,Groundwater,81.0,8/24/2023,JACKSON,1.77,1.34,ND,ND,ND,0.695,2023
NC0427103,CAROLINA VILLAGE MHP,Groundwater,305.0,11/15/2023,CURRITUCK,ND,ND,ND,ND,ND,ND,2023
NC3041045,CARRIAGE WAY  S/D,Groundwater,51.0,8/28/2023,GUILFORD,1.57,ND,ND,1.04,ND,0.61,2023
NC0150507,CASHIERS COMM CHILD DEV CENTER,Groundwater,125.0,8/9/2023,JACKSON,1.98,2.12,ND,ND,ND,0.669,2023
NC0465195,CASTLE CREEK MEMORY CARE,Groundwater,86.0,7/31/2023,NEW HANOVER,ND,ND,ND,ND,ND,ND,2023
NC0188133,CATATOGA AT LAKE TOXAWAY,Groundwater,35.0,8/8/2023,TRANSYLVANIA,ND,ND,ND,ND,ND,ND,2023
NC0150161,CEDAR CREEK WOODS,Groundwater,122.0,8/8/2023,JACKSON,1.54,1.17,ND,0.713,9.55,0.788,2023
NC0180194,CEDAR GLENN MHP INC,Groundwater,198.0,11/2/2023,ROWAN,0.949,1.67,ND,0.72,ND,1.28,2023
NC0150175,CEDAR HILL,Groundwater,234.0,8/28/2023,JACKSON,ND,ND,ND,ND,ND,ND,2023
NC0464317,CEDAR LAKE MHP,Groundwater,124.0,8/16/2023,NASH,ND,0.827,ND,0.839,ND,ND,2023
NC0241105,CEDAR PARK MHP,Groundwater,112.0,8/24/2023,GUILFORD,ND,ND,ND,ND,ND,ND,2023
NC0150178,CEDAR RIDGE ESTATES,Groundwater,104.0,8/8/2023,JACKSON,ND,ND,ND,0.781,ND,ND,2023
NC0319130,CEDAR VILLAGE II,Groundwater,25.0,6/8/2023,CHATHAM,11.6,11.5,ND,6.32,ND,4.16,2023
NC0156126,CEDARBROOK RESIDENTIAL HOME,Groundwater,80.0,9/6/2023,MCDOWELL,1.26,1.21,ND,1.4,ND,0.902,2023
NC7010054,CHADWICK MHP,Groundwater,90.0,8/8/2023,BRUNSWICK,2.6,ND,ND,ND,ND,1.68,2023
NC0136380,CHAPEL ACRES MHP,Groundwater,231.0,8/29/2023,GASTON,1.05,4.17,ND,5.72,ND,4.33,2023
NC0136111,CHAPEL GROVE MHP,Groundwater,110.0,8/2/2023,GASTON,1.05,6.47,ND,6.18,ND,10.6,2023
NC0106123,CHARLES A CANNON MEMORIAL HOSPITAL,Groundwater,320.0,10/19/2023,AVERY,2.5,ND,ND,ND,ND,1.1,2023
NC0155132,CHARLESTON TRAIL ESTATES,Groundwater,110.0,10/17/2023,LINCOLN,ND,0.88,ND,1.07,ND,0.705,2023
NC0319120,CHATHAM PINES LLC,Groundwater,98.0,7/11/2023,CHATHAM,5.44,7.47,ND,10,ND,4.29,2023
NC0150179,CHATTOOGA CLUB,Groundwater,100.0,7/20/2023,JACKSON,1,ND,ND,ND,ND,ND,2023
NC0122101,CHATUGE VILLAGE,Groundwater,267.0,8/10/2023,CLAY,ND,ND,ND,ND,ND,ND,2023
NC0241647,CHILDRENS CHOICE CHILDCARE,Groundwater,60.0,9/5/2023,GUILFORD,ND,1.48,ND,1.36,ND,ND,2023
NC1050045,CHINQUAPIN DEVELOPMENT,Groundwater,165.0,8/28/2023,JACKSON,ND,ND,ND,ND,ND,ND,2023
NC0431050,CHINQUAPIN WATER ASSOCIATION,Groundwater,4686.0,8/7/2023,DUPLIN,ND,ND,ND,ND,ND,ND,2023
NC0111108,CHRISTMOUNT CHRISTIAN ASSEMBLY,Groundwater,250.0,8/30/2023,BUNCOMBE,ND,ND,ND,ND,ND,ND,2023
NC0326331,CIRCLE D MHP,Groundwater,91.0,8/16/2023,CUMBERLAND,ND,ND,ND,ND,ND,ND,2023
NC0363124,CIRCLE H MHP,Groundwater,68.0,8/15/2023,MOORE,10.4,17.4,0.2,19.2,0.838,6.09,2023
NC0201165,CIRCLE K PARK,Groundwater,97.0,8/29/2023,ALAMANCE,33.3,75.3,ND,18.2,0.897,28.2,2023
NC3041050,CLAPP`S NURSING CTR-APPOMATTOX,Groundwater,265.0,9/5/2023,GUILFORD,3.38,20.2,ND,1.17,3.23,1.23,2023
NC1045001,CLEAR CREEK MEADOWS S/D,Groundwater,124.0,8/3/2023,HENDERSON,2.29,3.31,ND,18.9,ND,1.8,2023
NC0408055,CLEARWATER VALLEY WATER ASSOC,Groundwater,46.0,11/13/2023,BERTIE,ND,ND,ND,ND,ND,ND,2023
NC0234566,CLEMMONS LEARNING CENTER,Groundwater,75.0,10/24/2023,FORSYTH,2.08,4.53,ND,1.48,ND,1.75,2023
NC0351176,CLEVELAND MHP,Groundwater,107.0,7/10/2023,JOHNSTON,ND,1.02,ND,0.709,ND,ND,2023
NC0136917,CLINE`S LEARNING CENTER,Groundwater,70.0,9/12/2023,GASTON,ND,ND,ND,ND,ND,ND,2023
NC0201404,CLOVER GARDEN CHARTER SCHOOL,Groundwater,680.0,8/15/2023,ALAMANCE,ND,ND,ND,ND,ND,ND,2023
NC0188135,CLUB COLONY S/D,Groundwater,38.0,9/12/2023,TRANSYLVANIA,ND,ND,0.178,ND,ND,ND,2023
NC0465112,COLLEGE VIEW MHP,Groundwater,66.0,7/31/2023,NEW HANOVER,13,6.23,1.58,12.9,0.643,2.13,2023
NC0181132,COLONIAL MANOR REST HOME,Groundwater,27.0,11/3/2023,RUTHERFORD,ND,ND,ND,ND,ND,ND,2023
NC0149108,COMMODORE PENINSULA WTR SYSTEM,Groundwater,610.0,9/6/2023,IREDELL,ND,ND,ND,1.02,ND,1.2,2023
NC0433030,CONETOE COMMUNITY WATER SYSTEM,Groundwater,1090.0,7/6/2023,EDGECOMBE,ND,ND,ND,ND,ND,ND,2023
NC0150181,CONTINENTAL CLIFFS,Groundwater,69.0,8/9/2023,JACKSON,ND,ND,ND,ND,ND,ND,2023
NC0392118,COOLEY`S MHP,Groundwater,109.0,6/1/2023,WAKE,4.87,9.27,ND,5.4,ND,3.97,2023
NC1057005,COTTAGES AT LAKE OSSEROGA,Groundwater,93.0,8/3/2023,MACON,1.03,ND,ND,ND,ND,ND,2023
NC3095030,COTTAGES OF BOONE,Groundwater,890.0,10/19/2023,WATAUGA,ND,ND,ND,0.69,ND,ND,2023
NC0145148,COUNTRY ACRES MHP,Groundwater,30.0,9/26/2023,HENDERSON,ND,ND,ND,0.87,ND,ND,2023
NC0201105,COUNTRY CLUB MHP,Groundwater,127.0,8/15/2023,ALAMANCE,2.6,1.92,ND,2.19,ND,1.37,2023
NC0319124,COUNTRY ESTATES MHP,Groundwater,60.0,8/7/2023,CHATHAM,2.03,ND,ND,2.04,ND,1.29,2023
NC0285130,COUNTRY LIVING APTS,Groundwater,66.0,10/24/2023,STOKES,1.63,1.97,ND,0.752,ND,1.26,2023
NC0145143,COUNTRY PLACE,Groundwater,97.0,8/30/2023,HENDERSON,ND,ND,ND,ND,ND,ND,2023
NC0111157,COUNTRY PLACE S/D,Groundwater,160.0,8/30/2023,BUNCOMBE,ND,ND,ND,ND,ND,ND,2023
NC0136369,COUNTRY TIME INN,Groundwater,59.0,9/12/2023,GASTON,4.58,3.87,ND,0.566,ND,5.81,2023
NC0118306,COUNTRY VALLEY II MHP,Groundwater,318.0,11/13/2023,CATAWBA,0.792,2.12,ND,1.6,ND,1.56,2023
NC0136145,COUNTRYSIDE ESTATES MHP,Groundwater,99.0,8/2/2023,GASTON,0.917,22.8,ND,3.48,ND,2.47,2023
NC0136382,COVINGTON ACRES MHP,Groundwater,226.0,8/29/2023,GASTON,1.33,2.42,ND,1.98,ND,1.81,2023
NC0157153,COWEE MOUNTAIN S/D,Groundwater,46.0,8/3/2023,MACON,ND,ND,ND,ND,ND,ND,2023
NC0113165,COX MILL,Groundwater,198.0,9/6/2023,CABARRUS,3.44,2.36,ND,4.69,ND,1.13,2023
NC1045015,CRAB CREEK VALLEY S/D,Groundwater,60.0,8/17/2023,HENDERSON,ND,ND,ND,ND,ND,ND,2023
NC0201564,CREATIVE CHILD CARE,Groundwater,75.0,11/2/2023,ALAMANCE,ND,1.01,ND,ND,ND,ND,2023
NC0392229,CREEKSIDE MOBILE VILLAGE,Groundwater,165.0,6/1/2023,WAKE,7.73,1.26,ND,2.33,ND,2.06,2023
NC0118612,CROSS COUNTRY CAMPGROUND INC,Groundwater,627.0,10/9/2023,CATAWBA,ND,1.23,ND,ND,ND,ND,2023
NC0138107,CROSS CREEK S/D,Groundwater,117.0,10/24/2023,GRAHAM,ND,ND,ND,ND,ND,ND,2023
NC0136371,CROWDER RIDGE MHP,Groundwater,26.0,8/2/2023,GASTON,ND,1,ND,ND,ND,1.27,2023
NC0157143,CULLASAJA CLUB,Groundwater,800.0,8/3/2023,MACON,ND,0.847,ND,ND,ND,ND,2023
NC0157152,CULLASAJA RIVER S/D,Groundwater,53.0,8/1/2023,MACON,28.4,1.23,ND,3.02,ND,20.4,2023
NC0136383,D&M RENTALS/HENRY MOBILE COURT,Groundwater,58.0,10/24/2023,GASTON,1.97,3.67,ND,2.78,ND,3.19,2023
NC0149175,DAVIDSON DOWNES,Groundwater,240.0,7/25/2023,IREDELL,ND,2.34,ND,1.82,ND,ND,2023
NC0392122,DAVIS TOWN MHP,Groundwater,119.0,6/13/2023,WAKE,4.92,3.47,ND,4.49,ND,1.39,2023
NC0118112,DEAL APARTMENTS,Groundwater,58.0,10/9/2023,CATAWBA,ND,ND,ND,ND,ND,ND,2023
NC0454030,DEEP RUN WATER CORPORATION,Surface Water Purchase,13332.0,9/19/2023,LENOIR,ND,ND,ND,ND,ND,ND,2023
NC0156125,DEER PARK HEALTH & REHAB.,Groundwater,290.0,9/6/2023,MCDOWELL,ND,ND,ND,ND,ND,ND,2023
NC0392389,DEERCHASE S/D,Groundwater,755.0,5/9/2023,WAKE,1.91,1.52,ND,3.97,ND,2.24,2023
NC0136387,DELLINGER`S MHP,Groundwater,53.0,10/18/2023,GASTON,8.84,10.8,ND,10.4,ND,6.28,2023
NC0155119,DENVER SHORES MHP WATER SYSTEM,Groundwater,229.0,11/7/2023,LINCOLN,ND,0.783,ND,ND,ND,ND,2023
NC0279153,DOGWOOD ACRES MH S/D,Groundwater,88.0,10/26/2023,ROCKINGHAM,1.75,1.79,ND,ND,ND,1.19,2023
NC0180188,DOGWOOD ESTATES,Groundwater,64.0,8/14/2023,ROWAN,1.16,2.58,ND,5.42,ND,1.65,2023
NC0136343,DON`S MHP,Groundwater,112.0,8/2/2023,GASTON,26.5,13,ND,9.88,0.868,9.11,2023
NC0136124,DONNA-LYNN MHP,Groundwater,122.0,10/18/2023,GASTON,1.56,2,ND,1,ND,3.37,2023
NC0157144,DOWDLE TRACE S/D,Groundwater,79.0,8/31/2023,MACON,ND,ND,ND,ND,ND,ND,2023
NC0416117,"DOWN EAST MHP / DEMHP, LLC",Groundwater,107.0,8/9/2023,CARTERET,ND,ND,ND,ND,ND,ND,2023
NC4392116,DUXFORD S/D,Groundwater,76.0,6/1/2023,WAKE,ND,ND,ND,1.24,ND,ND,2023
NC0136848,EAGLES NEST CDC,Groundwater,85.0,11/20/2023,GASTON,ND,0.871,ND,ND,ND,0.775,2023
NC0122107,EAGLE'S VIEW S/D,Groundwater,127.0,8/10/2023,CLAY,ND,ND,ND,ND,ND,ND,2023
NC0474015,EASTERN PINES WATER CORP,Surface Water Purchase,23000.0,7/27/2023,PITT,ND,ND,ND,ND,ND,ND,2023
NC0362562,ECKERD CANDOR,Groundwater,92.0,8/15/2023,MONTGOMERY,ND,ND,ND,ND,ND,ND,2023
NC0197606,ECKERD OF BOOMER,Groundwater,33.0,10/19/2023,WILKES,ND,ND,ND,ND,ND,ND,2023
NC0111156,EDEN GLENN MHP,Groundwater,147.0,8/10/2023,BUNCOMBE,ND,2.75,ND,6.53,ND,5.67,2023
NC0392127,EDGEMONT MHP,Groundwater,63.0,6/29/2023,WAKE,ND,ND,ND,ND,ND,ND,2023
NC0291104,EDGEWOOD ESTATES,Groundwater,48.0,8/30/2023,VANCE,ND,7.04,ND,6.44,ND,2.5,2023
NC0180161,EDGEWOOD S/D,Groundwater,259.0,8/14/2023,ROWAN,2.74,6.32,ND,6.17,ND,5.4,2023
NC0157155,EL SHADDAI,Groundwater,53.0,10/25/2023,MACON,ND,ND,ND,ND,ND,ND,2023
NC0368470,EMERSON WALDORF SCH-GRADE SCH,Groundwater,335.0,5/23/2023,ORANGE,0.992,1.21,ND,1.38,ND,1.62,2023
NC4092144,ETHAN MEADOWS S/D,Groundwater,43.0,5/31/2023,WAKE,ND,ND,ND,ND,ND,ND,2023
NC0368162,EUGLENA JUNCTION,Groundwater,79.0,5/23/2023,ORANGE,ND,1.12,ND,3.19,ND,1.46,2023
NC0180110,FAIRFIELD ACRES,Groundwater,158.0,8/14/2023,ROWAN,6.54,8.62,ND,6.44,ND,3.21,2023
NC0279134,FAIRGROVE MHP,Groundwater,244.0,9/21/2023,ROCKINGHAM,ND,ND,ND,0.84,ND,ND,2023
NC0105432,FAIRWAY RIDGE WATER ASSOC INC,Groundwater,173.0,8/3/2023,ASHE,ND,ND,ND,ND,ND,ND,2023
NC0392131,FARM ROAD TRAILER PARK,Groundwater,28.0,10/19/2023,WAKE,6.03,9.11,ND,3.93,ND,9.13,2023
NC0353127,FARM WATER WORKS,Groundwater,167.0,7/19/2023,LEE,ND,ND,ND,ND,ND,ND,2023
NC0424673,FARMERS UNION COMM DEVELOPMENT,Groundwater,83.0,8/8/2023,COLUMBUS,ND,ND,ND,ND,ND,ND,2023
NC0326010,FAYETTEVILLE PUBLIC WORKS COMM,Surface Water,214137.0,2/20/2023,CUMBERLAND,20.5,5.34,0.485,5.67,ND,15.7,2023
NC0326010,FAYETTEVILLE PUBLIC WORKS COMM,Surface Water,214137.0,2/20/2023,CUMBERLAND,19.9,5.32,0.556,5.49,ND,17.3,2023
NC0465119,FIGURE 8 ISLAND,Groundwater,999.0,7/31/2023,NEW HANOVER,ND,ND,ND,ND,ND,ND,2023
NC4092179,FISH HAWK RANCH S/D,Groundwater,171.0,5/16/2023,WAKE,ND,ND,ND,ND,ND,ND,2023
NC0180111,FISHERMAN`S COVE WATER SYSTEM,Groundwater,348.0,11/2/2023,ROWAN,1.78,3.59,ND,3.97,ND,2,2023
NC0157102,FLAT MOUNTAIN ESTATES,Groundwater,109.0,10/18/2023,MACON,ND,ND,ND,ND,ND,ND,2023
NC0145113,FLETCHER ACADEMY INC,Groundwater,965.0,9/19/2023,HENDERSON,1.05,1.55,ND,2.19,ND,1.14,2023
NC2002001,FOREST ACRES WATER CORPORATION,Groundwater,79.0,10/4/2023,ALEXANDER,ND,ND,ND,ND,ND,ND,2023
NC0136359,FOREST HILL MHP,Groundwater,89.0,8/22/2023,GASTON,ND,2.25,ND,0.572,ND,1.33,2023
NC0201112,FOREST VALLEY MHP,Groundwater,99.0,8/29/2023,ALAMANCE,1.84,1.73,ND,1.78,ND,0.969,2023
NC0235101,FOX PARK MHP,Groundwater,158.0,7/24/2023,FRANKLIN,3.48,9.6,ND,12.6,1.73,3.55,2023
NC0145156,FRUITLAND MHP,Groundwater,75.0,8/3/2023,HENDERSON,ND,1.79,ND,3.87,ND,3.94,2023
NC0180115,GADDY MHP,Groundwater,76.0,7/27/2023,ROWAN,11,12.3,ND,7.66,ND,4.65,2023
NC0293112,GASTON HEIGHTS S/D,Groundwater,76.0,7/20/2023,WARREN,ND,ND,ND,ND,ND,ND,2023
NC0112109,GINGERCAKE ACRES,Groundwater,270.0,10/5/2023,BURKE,ND,ND,ND,ND,ND,ND,2023
NC4092155,GLEN CREEK,Groundwater,229.0,7/13/2023,WAKE,14.1,17,1.11,1.88,1.96,3.87,2023
NC0136357,GLORIA ACRES MHP,Groundwater,122.0,11/13/2023,GASTON,10,4.35,ND,11.2,ND,29.8,2023
NC0416130,GOOSE CREEK RESORT,Groundwater,1600.0,8/2/2023,CARTERET,ND,ND,ND,ND,ND,ND,2023
NC0180692,GRACE BIBLE CHURCH,Groundwater,200.0,9/11/2023,ROWAN,ND,ND,ND,ND,ND,ND,2023
NC0416489,GRAMERCY CHRISTIAN SCHOOL,Groundwater,220.0,8/1/2023,CARTERET,ND,ND,ND,ND,ND,ND,2023
NC0106108,GRANDFATHER GOLF & COUNTRY CLU,Groundwater,250.0,10/19/2023,AVERY,10.3,2.5,ND,1.4,ND,4.73,2023
NC0106422,GRANDFATHER HOME SOUTH CAMPUS,Groundwater,99.0,10/19/2023,AVERY,ND,ND,ND,ND,ND,ND,2023
NC0120109,GRANNY SQUIRREL,Groundwater,142.0,9/20/2023,CHEROKEE,ND,ND,ND,ND,ND,ND,2023
NC0239103,GRANVILLE FAMILY PARK,Groundwater,232.0,10/19/2023,GRANVILLE,1.6,1.15,ND,2.1,ND,1.02,2023
NC0239124,GRANVILLE PINES MHP,Groundwater,53.0,8/30/2023,GRANVILLE,1.37,5.9,ND,ND,ND,1.6,2023
NC3041119,GREATER VISION ACADEMY,Groundwater,125.0,9/21/2023,GUILFORD,1.31,1.29,ND,0.644,ND,ND,2023
NC0180201,GREEN ACRES MHP,Groundwater,71.0,9/19/2023,ROWAN,ND,ND,ND,ND,ND,ND,2023
NC0454109,GREEN ACRES MHP,Groundwater,229.0,11/17/2023,LENOIR,ND,ND,ND,ND,ND,ND,2023
NC0113158,GREEN OAKS S/D,Groundwater,46.0,10/12/2023,CABARRUS,6.42,3.77,ND,3.48,ND,2.81,2023
NC0392223,GREEN PINES PARK,Groundwater,66.0,7/25/2023,WAKE,12.5,9.79,0.213,4.78,ND,4.85,2023
