station_id,latitude,longitude,upstream_pfas_facility_count,nearest_pfas_facility_km,watershed_area_km2,pct_urban,mean_annual_flow_m3s,stream_order,month,water_pfas_ng_l
seg_0003_m6,35.05,-78.88,1,11.955065871837686,1312.900784966131,17.3,75.1,5,7,570.5
seg_0003_m9,35.05,-78.88,1,11.955065871837686,1312.900784966131,17.3,75.1,5,10,543.5
seg_0004,35.0,-78.86,1,5.977532935918843,300.097963915478,12.3,12.9,2,4,420.0
seg_0004_m0,35.0,-78.86,1,5.977532935918843,300.097963915478,12.3,12.9,2,1,438.9
seg_0004_m3,35.0,-78.86,1,5.977532935918843,300.097963915478,12.3,12.9,2,4,398.6
seg_0004_m6,35.0,-78.86,1,5.977532935918843,300.097963915478,12.3,12.9,2,7,483.4
seg_0004_m9,35.0,-78.86,1,5.977532935918843,300.097963915478,12.3,12.9,2,10,448.1
seg_0005,34.95,-78.84,1,0.0,550.2044160050078,17.6,23.5,1,8,280.0
seg_0005_m0,34.95,-78.84,1,0.0,550.2044160050078,17.6,23.5,1,1,280.8
seg_0005_m3,34.95,-78.84,1,0.0,550.2044160050078,17.6,23.5,1,4,284.8
seg_0005_m6,34.95,-78.84,1,0.0,550.2044160050078,17.6,23.5,1,7,298.2
seg_0005_m9,34.95,-78.84,1,0.0,550.2044160050078,17.6,23.5,1,10,321.7
seg_0006,34.9,-78.8,1,7.107467903551265,1085.3549312893813,15.3,59.3,5,1,150.0
seg_0006_m0,34.9,-78.8,1,7.107467903551265,1085.3549312893813,15.3,59.3,5,1,152.4
seg_0006_m3,34.9,-78.8,1,7.107467903551265,1085.3549312893813,15.3,59.3,5,4,151.5
seg_0006_m6,34.9,-78.8,1,7.107467903551265,1085.3549312893813,15.3,59.3,5,7,161.9
seg_0006_m9,34.9,-78.8,1,7.107467903551265,1085.3549312893813,15.3,59.3,5,10,170.7
seg_0007,34.85,-78.76,1,14.21493580710093,1206.9835399503374,14.0,68.1,1,3,80.0
seg_0007_m0,34.85,-78.76,1,14.21493580710093,1206.9835399503374,14.0,68.1,1,1,81.2
seg_0007_m3,34.85,-78.76,1,14.21493580710093,1206.9835399503374,14.0,68.1,1,4,80.3
seg_0007_m6,34.85,-78.76,1,14.21493580710093,1206.9835399503374,14.0,68.1,1,7,86.4
seg_0007_m9,34.85,-78.76,1,14.21493580710093,1206.9835399503374,14.0,68.1,1,10,92.1
seg_0008,34.78,-78.72,1,23.097603771820587,726.8575345247926,15.3,36.8,5,7,45.0
seg_0008_m0,34.78,-78.72,1,23.097603771820587,726.8575345247926,15.3,36.8,5,1,46.2
seg_0008_m3,34.78,-78.72,1,23.097603771820587,726.8575345247926,15.3,36.8,5,4,46.3
seg_0008_m6,34.78,-78.72,1,23.097603771820587,726.8575345247926,15.3,36.8,5,7,48.7
seg_0008_m9,34.78,-78.72,1,23.097603771820587,726.8575345247926,15.3,36.8,5,10,51.7
seg_0009,34.7,-78.68,1,32.94662501683574,1036.3206097300517,18.1,62.4,5,9,25.0
seg_0009_m0,34.7,-78.68,1,32.94662501683574,1036.3206097300517,18.1,62.4,5,1,25.2
seg_0009_m3,34.7,-78.68,1,32.94662501683574,1036.3206097300517,18.1,62.4,5,4,25.5
seg_0009_m6,34.7,-78.68,1,32.94662501683574,1036.3206097300517,18.1,62.4,5,7,26.6
seg_0009_m9,34.7,-78.68,1,32.94662501683574,1036.3206097300517,18.1,62.4,5,10,28.5
seg_0010,39.3,-81.6,1,14.214935807100314,206.49962004356377,16.0,5.5,2,10,60.0
seg_0010_m0,39.3,-81.6,1,14.214935807100314,206.49962004356377,16.0,5.5,2,1,59.2
seg_0010_m3,39.3,-81.6,1,14.214935807100314,206.49962004356377,16.0,5.5,2,4,53.3
seg_0010_m6,39.3,-81.6,1,14.214935807100314,206.49962004356377,16.0,5.5,2,7,64.8
seg_0010_m9,39.3,-81.6,1,14.214935807100314,206.49962004356377,16.0,5.5,2,10,61.0
seg_0011,39.28,-81.57,1,10.233694347594694,1018.2438764671481,19.0,57.8,3,9,150.0
seg_0011_m0,39.28,-81.57,1,10.233694347594694,1018.2438764671481,19.0,57.8,3,1,147.9
seg_0011_m3,39.28,-81.57,1,10.233694347594694,1018.2438764671481,19.0,57.8,3,4,129.3
seg_0011_m6,39.28,-81.57,1,10.233694347594694,1018.2438764671481,19.0,57.8,3,7,161.9
seg_0011_m9,39.28,-81.57,1,10.233694347594694,1018.2438764671481,19.0,57.8,3,10,153.9
seg_0012,39.26,-81.55,1,7.107467903550157,228.22502807218873,12.1,9.9,2,5,380.0
seg_0012_m0,39.26,-81.55,1,7.107467903550157,228.22502807218873,12.1,9.9,2,1,370.5
seg_0012_m3,39.26,-81.55,1,7.107467903550157,228.22502807218873,12.1,9.9,2,4,337.4
seg_0012_m6,39.26,-81.55,1,7.107467903550157,228.22502807218873,12.1,9.9,2,7,411.2
seg_0012_m9,39.26,-81.55,1,7.107467903550157,228.22502807218873,12.1,9.9,2,10,380.0
seg_0013,39.24,-81.53,1,4.002161915765326,1245.9213628266982,11.5,72.7,1,5,280.0
seg_0013_m0,39.24,-81.53,1,4.002161915765326,1245.9213628266982,11.5,72.7,1,1,271.6
seg_0013_m3,39.24,-81.53,1,4.002161915765326,1245.9213628266982,11.5,72.7,1,4,244.4
seg_0013_m6,39.24,-81.53,1,4.002161915765326,1245.9213628266982,11.5,72.7,1,7,304.4
seg_0013_m9,39.24,-81.53,1,4.002161915765326,1245.9213628266982,11.5,72.7,1,10,284.5
seg_0014,39.22,-81.5,1,0.0,625.7179028698162,10.3,34.3,3,5,160.0
seg_0014_m0,39.22,-81.5,1,0.0,625.7179028698162,10.3,34.3,3,1,156.3
seg_0014_m3,39.22,-81.5,1,0.0,625.7179028698162,10.3,34.3,3,4,141.4
seg_0014_m6,39.22,-81.5,1,0.0,625.7179028698162,10.3,34.3,3,7,174.1
seg_0014_m9,39.22,-81.5,1,0.0,625.7179028698162,10.3,34.3,3,10,162.2
seg_0015,39.2,-81.48,1,3.1395541084676464,915.7351936032319,15.2,52.0,5,4,90.0
seg_0015_m0,39.2,-81.48,1,3.1395541084676464,915.7351936032319,15.2,52.0,5,1,88.9
seg_0015_m3,39.2,-81.48,1,3.1395541084676464,915.7351936032319,15.2,52.0,5,4,77.5
seg_0015_m6,39.2,-81.48,1,3.1395541084676464,915.7351936032319,15.2,52.0,5,7,95.6
seg_0015_m9,39.2,-81.48,1,3.1395541084676464,915.7351936032319,15.2,52.0,5,10,91.5
seg_0016,39.18,-81.45,1,7.107467903550157,479.77328920251097,18.4,24.1,2,8,50.0
seg_0016_m0,39.18,-81.45,1,7.107467903550157,479.77328920251097,18.4,24.1,2,1,49.3
seg_0016_m3,39.18,-81.45,1,7.107467903550157,479.77328920251097,18.4,24.1,2,4,43.1
seg_0016_m6,39.18,-81.45,1,7.107467903550157,479.77328920251097,18.4,24.1,2,7,54.4
seg_0016_m9,39.18,-81.45,1,7.107467903550157,479.77328920251097,18.4,24.1,2,10,51.2
seg_0017,39.16,-81.42,1,11.100000000000001,911.3282267815182,17.5,50.6,2,6,28.0
seg_0017_m0,39.16,-81.42,1,11.100000000000001,911.3282267815182,17.5,50.6,2,1,27.4
seg_0017_m3,39.16,-81.42,1,11.100000000000001,911.3282267815182,17.5,50.6,2,4,24.2
seg_0017_m6,39.16,-81.42,1,11.100000000000001,911.3282267815182,17.5,50.6,2,7,29.8
seg_0017_m9,39.16,-81.42,1,11.100000000000001,911.3282267815182,17.5,50.6,2,10,28.1
seg_0018,34.62,-87.02,1,11.099999999999525,524.8417290073065,13.6,29.3,1,1,45.0
seg_0018_m0,34.62,-87.02,1,11.099999999999525,524.8417290073065,13.6,29.3,1,1,42.6
seg_0018_m3,34.62,-87.02,1,11.099999999999525,524.8417290073065,13.6,29.3,1,4,42.9
seg_0018_m6,34.62,-87.02,1,11.099999999999525,524.8417290073065,13.6,29.3,1,7,45.5
seg_0018_m9,34.62,-87.02,1,11.099999999999525,524.8417290073065,13.6,29.3,1,10,48.3
seg_0019,34.6,-86.98,1,6.279108216936966,398.6896664707096,16.9,18.6,4,8,120.0
seg_0019_m0,34.6,-86.98,1,6.279108216936966,398.6896664707096,16.9,18.6,4,1,117.2
seg_0019_m3,34.6,-86.98,1,6.279108216936966,398.6896664707096,16.9,18.6,4,4,117.0
seg_0019_m6,34.6,-86.98,1,6.279108216936966,398.6896664707096,16.9,18.6,4,7,123.8
seg_0019_m9,34.6,-86.98,1,6.279108216936966,398.6896664707096,16.9,18.6,4,10,132.1
seg_0020,34.58,-86.96,1,3.1395541084676464,362.0051473524263,17.9,17.0,3,10,300.0
seg_0020_m0,34.58,-86.96,1,3.1395541084676464,362.0051473524263,17.9,17.0,3,1,294.9
seg_0020_m3,34.58,-86.96,1,3.1395541084676464,362.0051473524263,17.9,17.0,3,4,297.0
seg_0020_m6,34.58,-86.96,1,3.1395541084676464,362.0051473524263,17.9,17.0,3,7,313.8
seg_0020_m9,34.58,-86.96,1,3.1395541084676464,362.0051473524263,17.9,17.0,3,10,324.6
seg_0021,34.56,-86.94,1,0.0,1383.9670457135878,13.9,79.6,2,9,220.0
seg_0021_m0,34.56,-86.94,1,0.0,1383.9670457135878,13.9,79.6,2,1,212.3
seg_0021_m3,34.56,-86.94,1,0.0,1383.9670457135878,13.9,79.6,2,4,213.6
seg_0021_m6,34.56,-86.94,1,0.0,1383.9670457135878,13.9,79.6,2,7,229.2
seg_0021_m9,34.56,-86.94,1,0.0,1383.9670457135878,13.9,79.6,2,10,242.9
seg_0022,34.54,-86.92,1,3.139554108468204,671.7150114718389,11.2,40.1,3,7,100.0
seg_0022_m0,34.54,-86.92,1,3.139554108468204,671.7150114718389,11.2,40.1,3,1,98.0
seg_0022_m3,34.54,-86.92,1,3.139554108468204,671.7150114718389,11.2,40.1,3,4,97.9
seg_0022_m6,34.54,-86.92,1,3.139554108468204,671.7150114718389,11.2,40.1,3,7,104.1
seg_0022_m9,34.54,-86.92,1,3.139554108468204,671.7150114718389,11.2,40.1,3,10,110.4
seg_0023,34.52,-86.88,1,8.004323831530215,1126.7693817772727,18.8,66.0,3,12,45.0
seg_0023_m0,34.52,-86.88,1,8.004323831530215,1126.7693817772727,18.8,66.0,3,1,44.1
seg_0023_m3,34.52,-86.88,1,8.004323831530215,1126.7693817772727,18.8,66.0,3,4,43.4
seg_0023_m6,34.52,-86.88,1,8.004323831530215,1126.7693817772727,18.8,66.0,3,7,47.1
seg_0023_m9,34.52,-86.88,1,8.004323831530215,1126.7693817772727,18.8,66.0,3,10,48.9
seg_0024,40.22,-74.88,2,14.21493580710093,721.9787200737765,41.7,43.8,1,9,25.0
seg_0024_m0,40.22,-74.88,2,14.21493580710093,721.9787200737765,41.7,43.8,1,1,25.6
seg_0024_m3,40.22,-74.88,2,14.21493580710093,721.9787200737765,41.7,43.8,1,4,23.3
seg_0024_m6,40.22,-74.88,2,14.21493580710093,721.9787200737765,41.7,43.8,1,7,27.9
seg_0024_m9,40.22,-74.88,2,14.21493580710093,721.9787200737765,41.7,43.8,1,10,26.6
seg_0025,40.18,-74.85,2,8.669377140256378,183.84804731709812,41.6,5.4,3,11,60.0
seg_0025_m0,40.18,-74.85,2,8.669377140256378,183.84804731709812,41.6,5.4,3,1,61.4
seg_0025_m3,40.18,-74.85,2,8.669377140256378,183.84804731709812,41.6,5.4,3,4,55.5
seg_0025_m6,40.18,-74.85,2,8.669377140256378,183.84804731709812,41.6,5.4,3,7,67.7
seg_0025_m9,40.18,-74.85,2,8.669377140256378,183.84804731709812,41.6,5.4,3,10,64.4
seg_0026,40.15,-74.82,2,4.002161915764888,501.1686893912668,42.4,21.1,3,11,110.0
seg_0026_m0,40.15,-74.82,2,4.002161915764888,501.1686893912668,42.4,21.1,3,1,113.7
seg_0026_m3,40.15,-74.82,2,4.002161915764888,501.1686893912668,42.4,21.1,3,4,102.0
seg_0026_m6,40.15,-74.82,2,4.002161915764888,501.1686893912668,42.4,21.1,3,7,123.2
seg_0026_m9,40.15,-74.82,2,4.002161915764888,501.1686893912668,42.4,21.1,3,10,117.4
seg_0027,40.12,-74.8,2,0.0,350.6749877529766,42.1,14.9,5,8,85.0
seg_0027_m0,40.12,-74.8,2,0.0,350.6749877529766,42.1,14.9,5,1,86.9
seg_0027_m3,40.12,-74.8,2,0.0,350.6749877529766,42.1,14.9,5,4,79.1
seg_0027_m6,40.12,-74.8,2,0.0,350.6749877529766,42.1,14.9,5,7,96.5
seg_0027_m9,40.12,-74.8,2,0.0,350.6749877529766,42.1,14.9,5,10,91.8
seg_0028,40.08,-74.78,2,4.9640709100492515,335.82182618913293,45.0,15.0,5,10,45.0
seg_0028_m0,40.08,-74.78,2,4.9640709100492515,335.82182618913293,45.0,15.0,5,1,46.4
seg_0028_m3,40.08,-74.78,2,4.9640709100492515,335.82182618913293,45.0,15.0,5,4,42.2
seg_0028_m6,40.08,-74.78,2,4.9640709100492515,335.82182618913293,45.0,15.0,5,7,51.4
seg_0028_m9,40.08,-74.78,2,4.9640709100492515,335.82182618913293,45.0,15.0,5,10,47.9
seg_0029,40.05,-74.76,2,8.94910610061098,891.8228040154629,44.9,46.8,1,7,22.0
seg_0029_m0,40.05,-74.76,2,8.94910610061098,891.8228040154629,44.9,46.8,1,1,22.5
seg_0029_m3,40.05,-74.76,2,8.94910610061098,891.8228040154629,44.9,46.8,1,4,20.2
seg_0029_m6,40.05,-74.76,2,8.94910610061098,891.8228040154629,44.9,46.8,1,7,24.7
seg_0029_m9,40.05,-74.76,2,8.94910610061098,891.8228040154629,44.9,46.8,1,10,23.5
seg_0030,42.32,-83.8,1,8.004323831530215,1138.7112015132504,55.5,67.8,3,5,40.0
seg_0030_m0,42.32,-83.8,1,8.004323831530215,1138.7112015132504,55.5,67.8,3,1,112.9
seg_0030_m3,42.32,-83.8,1,8.004323831530215,1138.7112015132504,55.5,67.8,3,4,77.5
seg_0030_m6,42.32,-83.8,1,8.004323831530215,1138.7112015132504,55.5,67.8,3,7,52.9
seg_0030_m9,42.32,-83.8,1,8.004323831530215,1138.7112015132504,55.5,67.8,3,10,43.2
seg_0031,42.3,-83.76,1,3.139554108468762,1417.4220186759442,59.3,83.0,5,1,80.0
seg_0031_m0,42.3,-83.76,1,3.139554108468762,1417.4220186759442,59.3,83.0,5,1,226.4
seg_0031_m3,42.3,-83.76,1,3.139554108468762,1417.4220186759442,59.3,83.0,5,4,154.7
seg_0031_m6,42.3,-83.76,1,3.139554108468762,1417.4220186759442,59.3,83.0,5,7,105.9
seg_0031_m9,42.3,-83.76,1,3.139554108468762,1417.4220186759442,59.3,83.0,5,10,86.6
seg_0032,42.28,-83.74,1,0.0,297.939872746929,63.7,14.3,3,9,120.0
seg_0032_m0,42.28,-83.74,1,0.0,297.939872746929,63.7,14.3,3,1,339.1
seg_0032_m3,42.28,-83.74,1,0.0,297.939872746929,63.7,14.3,3,4,232.8
seg_0032_m6,42.28,-83.74,1,0.0,297.939872746929,63.7,14.3,3,7,160.4
seg_0032_m9,42.28,-83.74,1,0.0,297.939872746929,63.7,14.3,3,10,130.9
seg_0033,42.27,-83.72,1,2.4820354550242727,304.5578525354963,60.9,12.3,2,3,90.0
seg_0033_m0,42.27,-83.72,1,2.4820354550242727,304.5578525354963,60.9,12.3,2,1,253.6
seg_0033_m3,42.27,-83.72,1,2.4820354550242727,304.5578525354963,60.9,12.3,2,4,173.6
seg_0033_m6,42.27,-83.72,1,2.4820354550242727,304.5578525354963,60.9,12.3,2,7,120.2
seg_0033_m9,42.27,-83.72,1,2.4820354550242727,304.5578525354963,60.9,12.3,2,10,98.0
seg_0034,42.26,-83.7,1,4.964070910048898,1009.3730020674968,61.0,56.0,3,6,50.0
seg_0034_m0,42.26,-83.7,1,4.964070910048898,1009.3730020674968,61.0,56.0,3,1,141.4
seg_0034_m3,42.26,-83.7,1,4.964070910048898,1009.3730020674968,61.0,56.0,3,4,97.0
seg_0034_m6,42.26,-83.7,1,4.964070910048898,1009.3730020674968,61.0,56.0,3,7,65.9
seg_0034_m9,42.26,-83.7,1,4.964070910048898,1009.3730020674968,61.0,56.0,3,10,54.3
seg_0035,42.88,-71.34,1,6.279108216936966,937.3220920551469,47.5,50.9,4,3,25.0
seg_0035_m0,42.88,-71.34,1,6.279108216936966,937.3220920551469,47.5,50.9,4,1,25.6
seg_0035_m3,42.88,-71.34,1,6.279108216936966,937.3220920551469,47.5,50.9,4,4,23.3
seg_0035_m6,42.88,-71.34,1,6.279108216936966,937.3220920551469,47.5,50.9,4,7,27.8
seg_0035_m9,42.88,-71.34,1,6.279108216936966,937.3220920551469,47.5,50.9,4,10,26.9
seg_0036,42.86,-71.32,1,3.1395541084676464,1224.3803961432654,53.5,75.3,3,4,55.0
seg_0036_m0,42.86,-71.32,1,3.1395541084676464,1224.3803961432654,53.5,75.3,3,1,56.5
seg_0036_m3,42.86,-71.32,1,3.1395541084676464,1224.3803961432654,53.5,75.3,3,4,50.8
seg_0036_m6,42.86,-71.32,1,3.1395541084676464,1224.3803961432654,53.5,75.3,3,7,61.3
seg_0036_m9,42.86,-71.32,1,3.1395541084676464,1224.3803961432654,53.5,75.3,3,10,57.7
seg_0037,42.84,-71.3,1,0.0,264.23740606679837,52.4,6.5,2,2,90.0
seg_0037_m0,42.84,-71.3,1,0.0,264.23740606679837,52.4,6.5,2,1,92.2
seg_0037_m3,42.84,-71.3,1,0.0,264.23740606679837,52.4,6.5,2,4,83.1
seg_0037_m6,42.84,-71.3,1,0.0,264.23740606679837,52.4,6.5,2,7,102.3
seg_0037_m9,42.84,-71.3,1,0.0,264.23740606679837,52.4,6.5,2,10,94.3
seg_0038,42.82,-71.28,1,3.139554108468204,700.1035133077179,51.0,38.0,2,6,65.0
seg_0038_m0,42.82,-71.28,1,3.139554108468204,700.1035133077179,51.0,38.0,2,1,67.5
seg_0038_m3,42.82,-71.28,1,3.139554108468204,700.1035133077179,51.0,38.0,2,4,60.9
seg_0038_m6,42.82,-71.28,1,3.139554108468204,700.1035133077179,51.0,38.0,2,7,72.7
seg_0038_m9,42.82,-71.28,1,3.139554108468204,700.1035133077179,51.0,38.0,2,10,68.5
seg_0039,42.8,-71.26,1,6.279108216936408,672.0855967837687,53.3,35.2,2,4,35.0
seg_0039_m0,42.8,-71.26,1,6.279108216936408,672.0855967837687,53.3,35.2,2,1,36.3
seg_0039_m3,42.8,-71.26,1,6.279108216936408,672.0855967837687,53.3,35.2,2,4,32.7
seg_0039_m6,42.8,-71.26,1,6.279108216936408,672.0855967837687,53.3,35.2,2,7,39.2
seg_0039_m9,42.8,-71.26,1,6.279108216936408,672.0855967837687,53.3,35.2,2,10,37.3
seg_0040,40.9,-74.12,1,4.7093311627025845,708.6812343335273,70.2,38.7,1,1,40.0
seg_0040_m0,40.9,-74.12,1,4.7093311627025845,708.6812343335273,70.2,38.7,1,1,39.4
seg_0040_m3,40.9,-74.12,1,4.7093311627025845,708.6812343335273,70.2,38.7,1,4,35.9
seg_0040_m6,40.9,-74.12,1,4.7093311627025845,708.6812343335273,70.2,38.7,1,7,44.3
seg_0040_m9,40.9,-74.12,1,4.7093311627025845,708.6812343335273,70.2,38.7,1,10,41.1
seg_0041,40.89,-74.13,1,3.1395541084693193,301.34475931290183,70.4,10.8,2,3,85.0
seg_0041_m0,40.89,-74.13,1,3.1395541084693193,301.34475931290183,70.4,10.8,2,1,83.1
seg_0041_m3,40.89,-74.13,1,3.1395541084693193,301.34475931290183,70.4,10.8,2,4,76.3
seg_0041_m6,40.89,-74.13,1,3.1395541084693193,301.34475931290183,70.4,10.8,2,7,93.3
seg_0041_m9,40.89,-74.13,1,3.1395541084693193,301.34475931290183,70.4,10.8,2,10,86.8
seg_0042,40.88,-74.14,1,1.5697770542349385,1055.4405136568423,78.6,61.9,4,9,140.0
seg_0042_m0,40.88,-74.14,1,1.5697770542349385,1055.4405136568423,78.6,61.9,4,1,140.8
seg_0042_m3,40.88,-74.14,1,1.5697770542349385,1055.4405136568423,78.6,61.9,4,4,125.9
seg_0042_m6,40.88,-74.14,1,1.5697770542349385,1055.4405136568423,78.6,61.9,4,7,150.9
seg_0042_m9,40.88,-74.14,1,1.5697770542349385,1055.4405136568423,78.6,61.9,4,10,145.9
seg_0043,40.87,-74.15,1,0.0,551.5986011818836,76.8,29.2,5,9,105.0
seg_0043_m0,40.87,-74.15,1,0.0,551.5986011818836,76.8,29.2,5,1,103.5
seg_0043_m3,40.87,-74.15,1,0.0,551.5986011818836,76.8,29.2,5,4,92.7
seg_0043_m6,40.87,-74.15,1,0.0,551.5986011818836,76.8,29.2,5,7,114.1
seg_0043_m9,40.87,-74.15,1,0.0,551.5986011818836,76.8,29.2,5,10,108.7
seg_0044,40.86,-74.16,1,1.5697770542332656,985.4901112342874,74.5,56.3,4,2,55.0
seg_0044_m0,40.86,-74.16,1,1.5697770542332656,985.4901112342874,74.5,56.3,4,1,54.0
seg_0044_m3,40.86,-74.16,1,1.5697770542332656,985.4901112342874,74.5,56.3,4,4,48.3
seg_0044_m6,40.86,-74.16,1,1.5697770542332656,985.4901112342874,74.5,56.3,4,7,60.4
seg_0044_m9,40.86,-74.16,1,1.5697770542332656,985.4901112342874,74.5,56.3,4,10,57.4
seg_0045,40.85,-74.17,2,3.1395541084676464,414.0940023187346,77.8,23.9,2,3,30.0
seg_0045_m0,40.85,-74.17,2,3.1395541084676464,414.0940023187346,77.8,23.9,2,1,29.5
seg_0045_m3,40.85,-74.17,2,3.1395541084676464,414.0940023187346,77.8,23.9,2,4,26.5
seg_0045_m6,40.85,-74.17,2,3.1395541084676464,414.0940023187346,77.8,23.9,2,7,32.3
seg_0045_m9,40.85,-74.17,2,3.1395541084676464,414.0940023187346,77.8,23.9,2,10,31.0
seg_0046,42.38,-87.84,1,3.139554108468204,774.035829637367,56.9,39.0,5,8,55.0
seg_0046_m0,42.38,-87.84,1,3.139554108468204,774.035829637367,56.9,39.0,5,1,154.1
seg_0046_m3,42.38,-87.84,1,3.139554108468204,774.035829637367,56.9,39.0,5,4,104.6
seg_0046_m6,42.38,-87.84,1,3.139554108468204,774.035829637367,56.9,39.0,5,7,72.4
seg_0046_m9,42.38,-87.84,1,3.139554108468204,774.035829637367,56.9,39.0,5,10,57.9
seg_0047,42.36,-87.82,1,4.440000000000694,308.71144313770156,51.4,14.5,1,6,90.0
seg_0047_m0,42.36,-87.82,1,4.440000000000694,308.71144313770156,51.4,14.5,1,1,254.4
seg_0047_m3,42.36,-87.82,1,4.440000000000694,308.71144313770156,51.4,14.5,1,4,172.5
seg_0047_m6,42.36,-87.82,1,4.440000000000694,308.71144313770156,51.4,14.5,1,7,119.5
seg_0047_m9,42.36,-87.82,1,4.440000000000694,308.71144313770156,51.4,14.5,1,10,97.0
seg_0048,42.34,-87.83,1,4.002161915764888,241.69178033863983,60.5,10.1,5,12,120.0
seg_0048_m0,42.34,-87.83,1,4.002161915764888,241.69178033863983,60.5,10.1,5,1,338.5
seg_0048_m3,42.34,-87.83,1,4.002161915764888,241.69178033863983,60.5,10.1,5,4,228.1
seg_0048_m6,42.34,-87.83,1,4.002161915764888,241.69178033863983,60.5,10.1,5,7,156.4
seg_0048_m9,42.34,-87.83,1,4.002161915764888,241.69178033863983,60.5,10.1,5,10,126.4
seg_0049,42.36,-87.86,1,0.0,387.54368450482787,51.5,18.6,4,9,85.0
seg_0049_m0,42.36,-87.86,1,0.0,387.54368450482787,51.5,18.6,4,1,240.0
seg_0049_m3,42.36,-87.86,1,0.0,387.54368450482787,51.5,18.6,4,4,162.0
seg_0049_m6,42.36,-87.86,1,0.0,387.54368450482787,51.5,18.6,4,7,111.9
seg_0049_m9,42.36,-87.86,1,0.0,387.54368450482787,51.5,18.6,4,10,89.6
seg_0050,42.33,-87.85,1,3.5101282027872003,408.46964646628305,56.2,16.8,5,12,95.0
seg_0050_m0,42.33,-87.85,1,3.5101282027872003,408.46964646628305,56.2,16.8,5,1,266.2
seg_0050_m3,42.33,-87.85,1,3.5101282027872003,408.46964646628305,56.2,16.8,5,4,183.3
seg_0050_m6,42.33,-87.85,1,3.5101282027872003,408.46964646628305,56.2,16.8,5,7,124.7
seg_0050_m9,42.33,-87.85,1,3.5101282027872003,408.46964646628305,56.2,16.8,5,10,102.2
seg_0051,42.35,-87.8,1,6.751866408631237,590.8703731661304,56.9,31.2,1,2,60.0
seg_0051_m0,42.35,-87.8,1,6.751866408631237,590.8703731661304,56.9,31.2,1,1,169.2
seg_0051_m3,42.35,-87.8,1,6.751866408631237,590.8703731661304,56.9,31.2,1,4,115.4
seg_0051_m6,42.35,-87.8,1,6.751866408631237,590.8703731661304,56.9,31.2,1,7,78.1
seg_0051_m9,42.35,-87.8,1,6.751866408631237,590.8703731661304,56.9,31.2,1,10,64.7
seg_0052,44.52,-88.0,1,7.4461063650745825,608.1437817071479,16.5,34.1,2,9,35.0
seg_0052_m0,44.52,-88.0,1,7.4461063650745825,608.1437817071479,16.5,34.1,2,1,99.1
seg_0052_m3,44.52,-88.0,1,7.4461063650745825,608.1437817071479,16.5,34.1,2,4,68.0
seg_0052_m6,44.52,-88.0,1,7.4461063650745825,608.1437817071479,16.5,34.1,2,7,47.0
seg_0052_m9,44.52,-88.0,1,7.4461063650745825,608.1437817071479,16.5,34.1,2,10,38.3
seg_0053,44.5,-88.01,1,4.9640709100492515,525.6212402817215,17.7,26.6,5,12,65.0
seg_0053_m0,44.5,-88.01,1,4.9640709100492515,525.6212402817215,17.7,26.6,5,1,184.6
seg_0053_m3,44.5,-88.01,1,4.9640709100492515,525.6212402817215,17.7,26.6,5,4,125.8
seg_0053_m6,44.5,-88.01,1,4.9640709100492515,525.6212402817215,17.7,26.6,5,7,87.3
seg_0053_m9,44.5,-88.01,1,4.9640709100492515,525.6212402817215,17.7,26.6,5,10,70.6
